商品名称,增值税税率
天然大理石荒料,13%
天然花岗石荒料,13%
煤层气,9%
煅烧高岭土,13%
煅烧白云石,13%
滑石,13%
液化天然气,9%
海盐,13%
油页岩,9%
其他油页岩,13%
油母页岩,13%
焦（重）油砂,13%
常用有色金属矿石,13%
其他常用有色金属矿石,13%
明矾石,13%
溴化物及其盐,13%
建筑用砂、土,13%
天然花岗石,13%
天然碱,13%
天然气水合物,13%
天然气,9%
天然大理石,13%
夕线石,13%
原煤,13%
原油,9%
天然原油,13%
冰洲石,13%
磁矿尾矿（折氧化物计量计价）,13%
强磁尾矿（折氧化物计量计价）,13%
强磁中矿（折氧化物计量计价）,13%
钕铁硼废料（折氧化物计量计价）,13%
稀土荧光材料废料（折氧化物计量计价）,13%
稀土催化剂废料（折氧化物计量计价）,13%
稀土储氢材料废料（折氧化物计量计价）,13%
混合碳酸稀土（折氧化物计量计价）,13%
混合氯化稀土（折氧化物计量计价）,13%
其他有色金属矿石,13%
其他未列明有色金属矿石,13%
高钇混合稀土氧化物,13%
高钇混合碳酸稀土（折氧化物计量计价）,13%
磷钇矿精矿（折氧化物计量计价）,13%
低钇低铕混合草酸稀土（折氧化物计量计价）,13%
低钇低铕混合碳酸稀土（折氧化物计量计价）,13%
中钇富铕混合碳酸稀土（折氧化物计量计价）,13%
高钇混合草酸稀土（折氧化物计量计价）,13%
黑色金属矿石,13%
非金属矿石,13%
粘土、砂、石,3%
建筑用天然石料,13%
干化污泥,13%
以自己采掘的砂、土、石料或其他矿物连续生产的砖、瓦、石灰（不含粘土实心砖、瓦）,13%
镍矿石,13%
锰矿石,13%
锆矿,13%
锂矿石,13%
铝土矿,13%
铍矿,13%
铋矿石,13%
铅锌矿石,13%
铁矾土,13%
钼矿石,13%
钴矿石,13%
钠矿石,13%
钛矿石,13%
钒矿石,13%
氟碳铈精矿（折氧化物计量计价）,13%
氟碳铈矿-独居石混合精矿（折氧化物计量计价）,13%
贵金属矿石,13%
蜡石,13%
芒硝,13%
稀土矿产品,13%
硼矿石,13%
硫镁矾矿石,13%
砷矿石,13%
其他矿产品,13%
盐类,13%
其他煤炭采选产品（低热值燃料）,13%
汞矿石,13%
毒重石,13%
板岩,13%
有色金属矿石,13%
碘化物及其盐,13%
放射性金属矿石,13%
天然玉石,13%
稳定轻烃,13%
沥青矿原油,13%
冰晶石,13%
钐钴废料（折氧化物计量计价）,13%
稀土抛光粉废料（折氧化物计量计价）,13%
其他稀土废料（折氧化物计量计价）,13%
云母,13%
磷钇矿石,13%
低钇低铕混合稀土氧化物,13%
中钇富铕混合草酸稀土（折氧化物计量计价）,13%
中钇富铕混合稀土氧化物,13%
耐火土石类,13%
石灰石、石膏类,13%
宝石、玉石矿石,13%
化学矿石,13%
其他非金属矿石,13%
天然宝石类矿石,13%
其他耐火土石类,13%
其他化学矿石,13%
其他建筑用天然石料,13%
其他砂石骨料,13%
镁矿石,13%
锶矿石,13%
锡矿石,13%
锑矿石,13%
银矿砂及其精矿石,13%
铯矿,13%
铬矿石,13%
铜矿石,13%
铌矿,13%
铁矿石,13%
铀矿石,13%
钾矿石,13%
钽铌矿,13%
钽矿,13%
钨矿石,13%
钠硝石,13%
湖盐,13%
井矿盐,13%
钍矿石,13%
金矿砂及其精矿石,13%
重晶石,13%
洗煤,13%
独居石精矿（折氧化物计量计价）,13%
氟碳铈镧矿精矿（折氧化物计量计价）,13%
其他贵金属矿石,13%
蛇纹岩,13%
蓝晶石,13%
萤石,13%
自然硫,13%
耐火粘土熟料,13%
耐火粘土,13%
红柱石,13%
粘土,3%
稀有金属矿石,13%
磷矿石,13%
硫铁矿,13%
硅藻土,13%
砂岩,13%
矿产品,13%
石英岩,13%
石膏,13%
石灰岩,13%
石油和天然气开采产品,9%
石棉,13%
石墨,13%
白云岩,13%
煤炭采选产品,13%
二氧化碳气,13%
黄玉,13%
颜料矿物,13%
页岩气,9%
长石,13%
镍精矿,13%
锡精矿,13%
锗矿,13%
锑精矿,13%
锑原矿,13%
锌精矿,13%
锇矿,13%
锂盐,13%
铼矿,13%
铬选矿,13%
铬原矿,13%
铪矿,13%
铜原矿,13%
铑矿,13%
铊矿,13%
铂矿,13%
铁选矿,13%
铁原矿,13%
钴精矿,13%
钨原矿,13%
金精矿,13%
重晶石原矿,13%
辉绿岩,13%
蓝石棉,13%
花岗岩选矿,13%
膨润土,13%
脉石英,13%
累托石粘土,13%
粗面岩,13%
磷原矿,13%
碧玺,13%
硫铁矿原矿,13%
石粉,13%
石灰岩原矿,13%
火山灰,13%
火山渣,13%
浮石,13%
泥炭,13%
泥灰岩,13%
氦气,13%
正长岩,13%
橄榄岩,13%
松脂岩,13%
方解石,13%
宝石,13%
天然砂,13%
地热,13%
含钾岩石,13%
凹凸棒石粘土,13%
凝灰岩,13%
其他粘土,13%
其他玉石,13%
黑曜岩,13%
麦饭石,13%
高岭土选矿,13%
高岭土原矿,13%
高岭土,13%
页岩,13%
霞石正长岩,13%
陶瓷土,13%
闪长岩,13%
镓矿,13%
镍原矿,13%
镉矿,13%
镁精矿,13%
镁盐,13%
镁原矿,13%
锶精矿,13%
锶原矿,13%
锰选矿,13%
锡原矿,13%
锂精矿,13%
锂原矿,13%
铷矿,13%
银精矿,13%
银原矿,13%
铱矿,13%
铟矿,13%
铜精矿,13%
铋精矿,13%
铋原矿,13%
天然油石,13%
天然沥青,13%
天然卤水,13%
大理岩选矿,13%
铅锌精矿,13%
铅锌原矿,13%
铅精矿,13%
钾盐,13%
钼精矿,13%
钼原矿,13%
钴原矿,13%
钯矿,13%
钨精矿,13%
钛精矿,13%
钛原矿,13%
钒精矿,13%
钒原矿,13%
钌矿,13%
金原矿,13%
重晶石精矿,13%
透闪石,13%
透辉石,13%
辉长岩,13%
辉石岩,13%
角闪岩,13%
蛭石,13%
萤石精矿,13%
萤石原矿,13%
菱镁矿,13%
膨润土选矿,13%
膨润土原矿,13%
粉石英,13%
磷精矿,13%
碲矿,13%
硫铁矿精矿,13%
硫化氢气,13%
硒矿,13%
硅灰石,13%
矿泉水（矿类）,13%
石煤,13%
石灰岩选矿,13%
石榴子石,13%
白垩,13%
珍珠岩,13%
玛瑙,13%
玄武岩,13%
片麻岩,13%
海泡石粘土,13%
沸石,13%
水气矿产,13%
水晶,13%
氡气,13%
毒重石精矿,13%
毒重石原矿,13%
机制砂,13%
有机宝石,13%
彩石类矿石,13%
建设用卵石、碎石,13%
建筑用土,13%
工业用金刚石,13%
工业用电气石,13%
宝石级金刚石,13%
安山岩,13%
天然石英砂,13%
含钾砂页岩,13%
叶腊石,13%
刚玉,13%
其他高岭土产品,13%
其他膨润土产品,13%
其他天然宝石矿石,13%
伊利石粘土,13%
人造富锰矿,13%
人造富铬矿,13%
人造富铁矿,13%
彩石类矿石,13%
其他原盐,13%
沥青页岩,13%
烟弹与烟具组合销售的电子烟产品,13%
电子烟烟弹,13%
电子烟烟具,13%
电子烟,13%
税控技术维护服务,6%
有轨电车,13%
电动轻便摩托车，由电力驱动的，最高设计车速大于20km/h且不大于50km/h（含50km/h）,13%
电动摩托车，由电力驱动的，最高设计车速大于50km/h,13%
摩托车，排气量在150毫升以下（含150毫升）,13%
轮式专用车,13%
甲类卷烟（新）,13%
甲类卷烟预留1,13%
雪莲（软蓝）,13%
玉溪（软）,13%
玉溪（硬）,13%
云烟（软珍品红韵）,13%
云烟（小熊猫）,13%
云烟（84mm细支祥瑞）,13%
云烟-小熊猫,13%
呼伦贝尔（天堂草原）,13%
玉溪（高配版）,13%
雪莲（细支1960）,13%
雪莲（74mm天韵）,13%
云烟（中支天眼）,13%
云烟（中支塞上好江南）,13%
云烟（中支大重九）,13%
云烟（中支金腰带）,13%
钓鱼台（中支）,13%
云烟（呼伦贝尔碧草云天）,13%
云烟（细支云龙）,13%
云烟（硬云龙）,13%
云烟（细支珍品）,13%
呼伦贝尔（草原牧歌）,13%
雪莲（3000）,13%
云烟（中支乌镇之恋）,13%
呼伦贝尔（天之韵）,13%
云烟（软珍红钻）,13%
云烟（黑金刚印象）,13%
雪莲（岁月）,13%
红塔山（大经典1956）,13%
玉溪（华叶）,13%
玉溪（硬庄园16支）,13%
玉溪（双中支翡翠）,13%
玉溪（细支108）,13%
红塔山（硬传奇）,13%
红塔山（新时代）,13%
红塔山-硬恭贺新禧,13%
玉溪（硬金）,13%
红梅（硬黄）,13%
玉溪（软境界）,13%
红塔山（硬经典100）,13%
玉溪（软尚善）,13%
红梅（软顺）,13%
红塔山（软经典）,13%
红塔山（硬经典）,13%
玉溪（硬和谐）,13%
红塔山（硬新势力）,13%
红河（A7）,13%
红河（去野）,13%
云烟（七彩印象）,13%
云烟（小云端）,13%
云烟（74mm大团结）,13%
云烟（香格里拉）,13%
呼伦贝尔（草原情）,13%
威斯（小熊猫）,13%
云烟（84mm细支雪域）,13%
呼伦贝尔（金帐汗）,13%
云烟（云端）,13%
云烟（乌镇之恋）,13%
云烟（雪域）,13%
呼伦贝尔（金戈铁马）,13%
云烟（细支大重九）,13%
云烟（9+1大重九）,13%
云烟（绿呼伦贝尔）,13%
红河（小熊猫世纪风）,13%
云烟（软紫）,13%
云烟（福）,13%
云烟（软礼印象）,13%
红山茶（软）,13%
云烟（软如意）,13%
云烟（印象）,13%
钓鱼台（硬景泰蓝94mm）,13%
钓鱼台（84mm细支）,13%
云烟（百味人生）,13%